hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
[32],sigmoid,100,10.0,256,0.75625,0.785
[32],sigmoid,100,10.0,512,0.90625,0.88
[32],sigmoid,100,1.0,16,0.7875,0.84
[32],sigmoid,100,1.0,32,0.945,0.935
[32],sigmoid,100,1.0,64,0.945,0.905
[32],sigmoid,100,1.0,128,0.9375,0.9
[32],sigmoid,100,1.0,256,0.95625,0.915
[32],sigmoid,100,1.0,512,0.99375,0.88
[32],sigmoid,100,0.1,16,0.99625,0.91
[32],sigmoid,100,0.1,32,1.0,0.94
[32],sigmoid,100,0.1,64,1.0,0.965
[32],sigmoid,100,0.1,128,1.0,0.93
[32],sigmoid,100,0.1,256,0.99625,0.95
[32],sigmoid,100,0.1,512,0.99375,0.945
[32],sigmoid,100,0.01,16,0.99375,0.95
[32],sigmoid,100,0.01,32,0.9825,0.97
[32],sigmoid,100,0.01,64,0.97625,0.96
[32],sigmoid,100,0.01,128,0.96125,0.96
[32],sigmoid,100,0.01,256,0.92625,0.94
[32],sigmoid,100,0.01,512,0.915,0.93
[32],sigmoid,100,0.001,16,0.89125,0.895
[32],sigmoid,100,0.001,32,0.87,0.87
[32],sigmoid,100,0.001,64,0.8475,0.84
[32],sigmoid,100,0.001,128,0.83,0.84
[32],sigmoid,100,0.001,256,0.83,0.835
[32],sigmoid,100,0.001,512,0.82125,0.82
[32],sigmoid,100,0.0001,16,0.8325,0.82
[32],sigmoid,100,0.0001,32,0.825,0.825
[32],sigmoid,100,0.0001,64,0.82,0.81
[32],sigmoid,100,0.0001,128,0.76875,0.775
[32],sigmoid,100,0.0001,256,0.58375,0.575
[32],sigmoid,100,0.0001,512,0.7025,0.69
[32],sigmoid,250,10.0,16,0.84,0.835
[32],sigmoid,250,10.0,32,0.75625,0.735
[32],sigmoid,250,10.0,64,0.695,0.75
[32],sigmoid,250,10.0,128,0.825,0.835
[32],sigmoid,250,10.0,256,0.89,0.885
[32],sigmoid,250,10.0,512,0.87875,0.89
[32],sigmoid,250,1.0,16,0.91875,0.925
[32],sigmoid,250,1.0,32,0.9075,0.89
[32],sigmoid,250,1.0,64,0.94375,0.905
[32],sigmoid,250,1.0,128,0.93,0.92
[32],sigmoid,250,1.0,256,0.99125,0.89
[32],sigmoid,250,1.0,512,0.99375,0.88
[32],sigmoid,250,0.1,16,1.0,0.9
[32],sigmoid,250,0.1,32,1.0,0.925
[32],sigmoid,250,0.1,64,1.0,0.935
[32],sigmoid,250,0.1,128,1.0,0.94
[32],sigmoid,250,0.1,256,1.0,0.95
[32],sigmoid,250,0.1,512,1.0,0.93
[32],sigmoid,250,0.01,16,1.0,0.915
[32],sigmoid,250,0.01,32,1.0,0.95
[32],sigmoid,250,0.01,64,0.99875,0.95
[32],sigmoid,250,0.01,128,0.9875,0.95
[32],sigmoid,250,0.01,256,0.97125,0.96
[32],sigmoid,250,0.01,512,0.975,0.95
[32],sigmoid,250,0.001,16,0.95875,0.955
[32],sigmoid,250,0.001,32,0.92875,0.935
[32],sigmoid,250,0.001,64,0.9,0.915
[32],sigmoid,250,0.001,128,0.87625,0.875
[32],sigmoid,250,0.001,256,0.8525,0.84
[32],sigmoid,250,0.001,512,0.82875,0.84
[32],sigmoid,250,0.0001,16,0.83,0.835
[32],sigmoid,250,0.0001,32,0.83375,0.84
[32],sigmoid,250,0.0001,64,0.83125,0.825
[32],sigmoid,250,0.0001,128,0.82625,0.82
[32],sigmoid,250,0.0001,256,0.80125,0.78
[32],sigmoid,250,0.0001,512,0.7825,0.78
[32],tanh,1,10.0,16,0.755,0.765
[32],tanh,1,10.0,32,0.7675,0.8
[32],tanh,1,10.0,64,0.74,0.84
[32],tanh,1,10.0,128,0.72625,0.76
[32],tanh,1,10.0,256,0.8125,0.845
[32],tanh,1,10.0,512,0.75375,0.755
[32],tanh,1,1.0,16,0.80125,0.825
[32],tanh,1,1.0,32,0.8175,0.815
[32],tanh,1,1.0,64,0.81875,0.8
[32],tanh,1,1.0,128,0.78875,0.795
[32],tanh,1,1.0,256,0.7725,0.775
[32],tanh,1,1.0,512,0.74875,0.765
[32],tanh,1,0.1,16,0.84125,0.88
[32],tanh,1,0.1,32,0.84125,0.875
[32],tanh,1,0.1,64,0.85125,0.845
[32],tanh,1,0.1,128,0.79,0.795
[32],tanh,1,0.1,256,0.83,0.82
[32],tanh,1,0.1,512,0.78,0.805
[32],tanh,1,0.01,16,0.83875,0.845
[32],tanh,1,0.01,32,0.83375,0.84
[32],tanh,1,0.01,64,0.82625,0.845
[32],tanh,1,0.01,128,0.80625,0.795
[32],tanh,1,0.01,256,0.78125,0.79
[32],tanh,1,0.01,512,0.78125,0.76
[32],tanh,1,0.001,16,0.745,0.805
[32],tanh,1,0.001,32,0.485,0.495
[32],tanh,1,0.001,64,0.625,0.58
[32],tanh,1,0.001,128,0.50125,0.37
[32],tanh,1,0.001,256,0.53875,0.61
[32],tanh,1,0.001,512,0.5625,0.57
[32],tanh,1,0.0001,16,0.65375,0.71
[32],tanh,1,0.0001,32,0.4725,0.44
[32],tanh,1,0.0001,64,0.36,0.325
[32],tanh,1,0.0001,128,0.6375,0.605
[32],tanh,1,0.0001,256,0.48,0.505
[32],tanh,1,0.0001,512,0.43625,0.405
[32],tanh,10,10.0,16,0.765,0.79
[32],tanh,10,10.0,32,0.8125,0.805
[32],tanh,10,10.0,64,0.68125,0.67
[32],tanh,10,10.0,128,0.74,0.755
[32],tanh,10,10.0,256,0.7825,0.79
[32],tanh,10,10.0,512,0.79125,0.77
[32],tanh,10,1.0,16,0.86,0.845
[32],tanh,10,1.0,32,0.835,0.835
[32],tanh,10,1.0,64,0.89625,0.91
[32],tanh,10,1.0,128,0.8525,0.815
[32],tanh,10,1.0,256,0.86,0.825
[32],tanh,10,1.0,512,0.835,0.845
[32],tanh,10,0.1,16,0.895,0.915
[32],tanh,10,0.1,32,0.98375,0.945
[32],tanh,10,0.1,64,0.9575,0.955
[32],tanh,10,0.1,128,0.95375,0.925
[32],tanh,10,0.1,256,0.915,0.915
[32],tanh,10,0.1,512,0.93875,0.925
[32],tanh,10,0.01,16,0.9375,0.94
[32],tanh,10,0.01,32,0.93,0.945
[32],tanh,10,0.01,64,0.9125,0.925
[32],tanh,10,0.01,128,0.8675,0.86
[32],tanh,10,0.01,256,0.85625,0.845
[32],tanh,10,0.01,512,0.83125,0.83
[32],tanh,10,0.001,16,0.8375,0.845
[32],tanh,10,0.001,32,0.83625,0.825
[32],tanh,10,0.001,64,0.83125,0.82
[32],tanh,10,0.001,128,0.81125,0.805
[32],tanh,10,0.001,256,0.76125,0.8
[32],tanh,10,0.001,512,0.6475,0.685
[32],tanh,10,0.0001,16,0.7775,0.765
[32],tanh,10,0.0001,32,0.73625,0.78
[32],tanh,10,0.0001,64,0.49875,0.435
[32],tanh,10,0.0001,128,0.5725,0.61
[32],tanh,10,0.0001,256,0.48625,0.46
[32],tanh,10,0.0001,512,0.48125,0.435
[32],tanh,25,10.0,16,0.8075,0.805
[32],tanh,25,10.0,32,0.7775,0.82
[32],tanh,25,10.0,64,0.81,0.835
[32],tanh,25,10.0,128,0.83375,0.815
[32],tanh,25,10.0,256,0.7625,0.735
[32],tanh,25,10.0,512,0.83875,0.845
[32],tanh,25,1.0,16,0.80875,0.805
[32],tanh,25,1.0,32,0.8825,0.88
[32],tanh,25,1.0,64,0.77625,0.785
[32],tanh,25,1.0,128,0.93125,0.895
[32],tanh,25,1.0,256,0.90625,0.875
[32],tanh,25,1.0,512,0.935,0.87
[32],tanh,25,0.1,16,0.9725,0.905
[32],tanh,25,0.1,32,0.985,0.935
[32],tanh,25,0.1,64,0.97625,0.955
